anio,mes,dia,fecha_date,fecha,cant_conversaciones,cant_intencion_compra,cant_adquisicion,cant_compra
2020,202008,2020-08-14,2020-08-14 23:00:00,2020081423,4.0,4.0,3.0,0.0
2020,202008,2020-08-15,2020-08-15 00:00:00,2020081500,1.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 01:00:00,2020081501,0.0,1.0,1.0,0.0
2020,202008,2020-08-15,2020-08-15 02:00:00,2020081502,0.0,4.0,4.0,0.0
2020,202008,2020-08-15,2020-08-15 03:00:00,2020081503,0.0,3.0,2.0,1.0
2020,202008,2020-08-15,2020-08-15 04:00:00,2020081504,1.0,2.0,2.0,0.0
2020,202008,2020-08-15,2020-08-15 05:00:00,2020081505,2.0,3.0,2.0,1.0
2020,202008,2020-08-15,2020-08-15 06:00:00,2020081506,2.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 07:00:00,2020081507,4.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 09:00:00,2020081509,3.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 10:00:00,2020081510,0.0,1.0,1.0,0.0
2020,202008,2020-08-15,2020-08-15 11:00:00,2020081511,2.0,1.0,1.0,0.0
2020,202008,2020-08-15,2020-08-15 12:00:00,2020081512,2.0,2.0,2.0,0.0
2020,202008,2020-08-15,2020-08-15 13:00:00,2020081513,1.0,2.0,1.0,0.0
2020,202008,2020-08-15,2020-08-15 15:00:00,2020081515,6.0,1.0,1.0,0.0
2020,202008,2020-08-15,2020-08-15 17:00:00,2020081517,3.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 18:00:00,2020081518,3.0,1.0,0.0,1.0
2020,202008,2020-08-15,2020-08-15 19:00:00,2020081519,4.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 20:00:00,2020081520,1.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 21:00:00,2020081521,1.0,2.0,2.0,0.0
2020,202008,2020-08-15,2020-08-15 22:00:00,2020081522,5.0,0.0,0.0,0.0
2020,202008,2020-08-15,2020-08-15 23:00:00,2020081523,0.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 00:00:00,2020081600,0.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 01:00:00,2020081601,0.0,2.0,2.0,0.0
2020,202008,2020-08-16,2020-08-16 02:00:00,2020081602,1.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 03:00:00,2020081603,1.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 04:00:00,2020081604,1.0,3.0,3.0,0.0
2020,202008,2020-08-16,2020-08-16 06:00:00,2020081606,2.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 07:00:00,2020081607,3.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 08:00:00,2020081608,3.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 09:00:00,2020081609,1.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 10:00:00,2020081610,1.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 11:00:00,2020081611,1.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 12:00:00,2020081612,2.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 13:00:00,2020081613,0.0,2.0,2.0,0.0
2020,202008,2020-08-16,2020-08-16 14:00:00,2020081614,3.0,2.0,1.0,1.0
2020,202008,2020-08-16,2020-08-16 15:00:00,2020081615,5.0,2.0,2.0,0.0
2020,202008,2020-08-16,2020-08-16 16:00:00,2020081616,2.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 17:00:00,2020081617,5.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 18:00:00,2020081618,1.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 19:00:00,2020081619,2.0,0.0,0.0,0.0
2020,202008,2020-08-16,2020-08-16 20:00:00,2020081620,4.0,1.0,1.0,0.0
2020,202008,2020-08-16,2020-08-16 21:00:00,2020081621,5.0,2.0,2.0,0.0
2020,202008,2020-08-16,2020-08-16 22:00:00,2020081622,2.0,2.0,2.0,0.0
2020,202008,2020-08-16,2020-08-16 23:00:00,2020081623,1.0,5.0,5.0,0.0
2020,202008,2020-08-17,2020-08-17 00:00:00,2020081700,2.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 01:00:00,2020081701,1.0,2.0,2.0,0.0
2020,202008,2020-08-17,2020-08-17 02:00:00,2020081702,0.0,2.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 03:00:00,2020081703,0.0,2.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 04:00:00,2020081704,0.0,1.0,0.0,1.0
2020,202008,2020-08-17,2020-08-17 06:00:00,2020081706,3.0,2.0,2.0,0.0
2020,202008,2020-08-17,2020-08-17 07:00:00,2020081707,3.0,1.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 08:00:00,2020081708,3.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 09:00:00,2020081709,1.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 10:00:00,2020081710,5.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 12:00:00,2020081712,2.0,1.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 13:00:00,2020081713,5.0,1.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 14:00:00,2020081714,2.0,2.0,1.0,1.0
2020,202008,2020-08-17,2020-08-17 15:00:00,2020081715,2.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 16:00:00,2020081716,0.0,3.0,2.0,0.0
2020,202008,2020-08-17,2020-08-17 17:00:00,2020081717,8.0,0.0,0.0,0.0
2020,202008,2020-08-17,2020-08-17 18:00:00,2020081718,10.0,1.0,1.0,0.0
2020,202008,2020-08-17,2020-08-17 19:00:00,2020081719,6.0,2.0,2.0,0.0
2020,202008,2020-08-17,2020-08-17 20:00:00,2020081720,13.0,1.0,0.0,1.0
2020,202008,2020-08-17,2020-08-17 21:00:00,2020081721,5.0,3.0,3.0,0.0
2020,202008,2020-08-17,2020-08-17 22:00:00,2020081722,5.0,1.0,1.0,1.0
2020,202008,2020-08-17,2020-08-17 23:00:00,2020081723,1.0,8.0,8.0,0.0
2020,202008,2020-08-18,2020-08-18 00:00:00,2020081800,0.0,5.0,5.0,1.0
2020,202008,2020-08-18,2020-08-18 01:00:00,2020081801,0.0,3.0,3.0,0.0
2020,202008,2020-08-18,2020-08-18 02:00:00,2020081802,0.0,9.0,7.0,0.0
2020,202008,2020-08-18,2020-08-18 03:00:00,2020081803,0.0,4.0,3.0,0.0
2020,202008,2020-08-18,2020-08-18 04:00:00,2020081804,0.0,3.0,2.0,0.0
2020,202008,2020-08-18,2020-08-18 05:00:00,2020081805,0.0,1.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 06:00:00,2020081806,3.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 07:00:00,2020081807,3.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 08:00:00,2020081808,1.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 09:00:00,2020081809,6.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 10:00:00,2020081810,2.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 11:00:00,2020081811,3.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 12:00:00,2020081812,4.0,2.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 13:00:00,2020081813,5.0,3.0,3.0,0.0
2020,202008,2020-08-18,2020-08-18 14:00:00,2020081814,1.0,1.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 15:00:00,2020081815,0.0,4.0,4.0,0.0
2020,202008,2020-08-18,2020-08-18 16:00:00,2020081816,1.0,1.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 17:00:00,2020081817,1.0,1.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 18:00:00,2020081818,1.0,2.0,2.0,0.0
2020,202008,2020-08-18,2020-08-18 19:00:00,2020081819,1.0,2.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 20:00:00,2020081820,3.0,1.0,1.0,0.0
2020,202008,2020-08-18,2020-08-18 21:00:00,2020081821,2.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 22:00:00,2020081822,1.0,0.0,0.0,0.0
2020,202008,2020-08-18,2020-08-18 23:00:00,2020081823,0.0,1.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 00:00:00,2020081900,2.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 01:00:00,2020081901,2.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 02:00:00,2020081902,0.0,2.0,2.0,0.0
2020,202008,2020-08-19,2020-08-19 04:00:00,2020081904,0.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 06:00:00,2020081906,3.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 07:00:00,2020081907,0.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 08:00:00,2020081908,1.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 09:00:00,2020081909,2.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 10:00:00,2020081910,2.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 11:00:00,2020081911,2.0,1.0,0.0,0.0
